SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
A14-TMZRCTRL2_S12.bowtie.bam,NA,ATAC,TMZR,CTRL,1,A14-TMZRCTRL2_S12.bowtie.bam,,,macs2.dir/A14-TMZRCTRL2_S12.bowtie.macs2_peaks.broadPeak,macs
A3-U373CTRL3_S14.bowtie.bam,NA,ATAC,U373,CTRL,1,A3-U373CTRL3_S14.bowtie.bam,,,macs2.dir/A3-U373CTRL3_S14.bowtie.macs2_peaks.broadPeak,macs
A13-TMZRCTRL1_S3.bowtie.bam,NA,ATAC,TMZR,CTRL,1,A13-TMZRCTRL1_S3.bowtie.bam,,,macs2.dir/A13-TMZRCTRL1_S3.bowtie.macs2_peaks.broadPeak,macs
A7-DETMZRCTRL1_S4.bowtie.bam,NA,ATAC,DETMZ,CTRL,1,A7-DETMZRCTRL1_S4.bowtie.bam,,,macs2.dir/A7-DETMZRCTRL1_S4.bowtie.macs2_peaks.broadPeak,macs
A8-DETMZRCTRL2_S16.bowtie.bam,NA,ATAC,DETMZ,CTRL,1,A8-DETMZRCTRL2_S16.bowtie.bam,,,macs2.dir/A8-DETMZRCTRL2_S16.bowtie.macs2_peaks.broadPeak,macs
A2-U373CTRL2_S7.bowtie.bam,NA,ATAC,U373,CTRL,1,A2-U373CTRL2_S7.bowtie.bam,,,macs2.dir/A2-U373CTRL2_S7.bowtie.macs2_peaks.broadPeak,macs
A9-DETMZRCTRL3_S13.bowtie.bam,NA,ATAC,DETMZ,CTRL,1,A9-DETMZRCTRL3_S13.bowtie.bam,,,macs2.dir/A9-DETMZRCTRL3_S13.bowtie.macs2_peaks.broadPeak,macs
A1-U373CTRL1_S10.bowtie.bam,NA,ATAC,U373,CTRL,1,A1-U373CTRL1_S10.bowtie.bam,,,macs2.dir/A1-U373CTRL1_S10.bowtie.macs2_peaks.broadPeak,macs
A15-TMZRCTRL3_S11.bowtie.bam,NA,ATAC,TMZR,CTRL,1,A15-TMZRCTRL3_S11.bowtie.bam,,,macs2.dir/A15-TMZRCTRL3_S11.bowtie.macs2_peaks.broadPeak,macs
A5-U373ROC2_S1.bowtie.bam,NA,ATAC,U373,ROC,1,A5-U373ROC2_S1.bowtie.bam,,,macs2.dir/A5-U373ROC2_S1.bowtie.macs2_peaks.broadPeak,macs
A16-TMZRROC1_S2.bowtie.bam,NA,ATAC,TMZR,ROC,1,A16-TMZRROC1_S2.bowtie.bam,,,macs2.dir/A16-TMZRROC1_S2.bowtie.macs2_peaks.broadPeak,macs
A6-U373ROC3_S15.bowtie.bam,NA,ATAC,U373,ROC,1,A6-U373ROC3_S15.bowtie.bam,,,macs2.dir/A6-U373ROC3_S15.bowtie.macs2_peaks.broadPeak,macs
A12-DETMZROC3_S8.bowtie.bam,NA,ATAC,DETMZ,ROC,1,A12-DETMZROC3_S8.bowtie.bam,,,macs2.dir/A12-DETMZROC3_S8.bowtie.macs2_peaks.broadPeak,macs
A18-TMZRROC3_S17.bowtie.bam,NA,ATAC,TMZR,ROC,1,A18-TMZRROC3_S17.bowtie.bam,,,macs2.dir/A18-TMZRROC3_S17.bowtie.macs2_peaks.broadPeak,macs
A4-U373ROC1_S6.bowtie.bam,NA,ATAC,U373,ROC,1,A4-U373ROC1_S6.bowtie.bam,,,macs2.dir/A4-U373ROC1_S6.bowtie.macs2_peaks.broadPeak,macs
A11-DETMZROC2_S9.bowtie.bam,NA,ATAC,DETMZ,ROC,1,A11-DETMZROC2_S9.bowtie.bam,,,macs2.dir/A11-DETMZROC2_S9.bowtie.macs2_peaks.broadPeak,macs
A17-TMZRROC2_S18.bowtie.bam,NA,ATAC,TMZR,ROC,1,A17-TMZRROC2_S18.bowtie.bam,,,macs2.dir/A17-TMZRROC2_S18.bowtie.macs2_peaks.broadPeak,macs
A10-DETMZROC1_S5.bowtie.bam,NA,ATAC,DETMZ,ROC,1,A10-DETMZROC1_S5.bowtie.bam,,,macs2.dir/A10-DETMZROC1_S5.bowtie.macs2_peaks.broadPeak,macs
